,PIDANH4 rpt 1.sp,PIDANH4 rpt 2.sp,PIDANH4 rpt 3.sp,PIDANH4 rpt 4.sp,PIDANH4 rpt 5.sp,PIDANH4 rpt 6.sp,PIDANH4 rpt 7.sp,PIDANH4 rpt 8.sp,PIDANH4 rpt 9.sp,PIDANH4 rpt 10.sp,PIDANH4 rpt 11.sp,PIDANH4 rpt 12.sp,PIDANH4 rpt 13.sp,PIDANH4 rpt 14.sp,PIDANH4 rpt 15.sp,PIDANH4 rpt 16.sp,PIDANH4 rpt 17.sp,PIDANH4 rpt 18.sp,PIDANH4 rpt 19.sp,PIDANH4 rpt 20.sp,PIDANH4 rpt 21.sp,PIDANH4 rpt 22.sp,PIDANH4 rpt 23.sp,PIDANH4 rpt 24.sp,PIDANH4 rpt 25.sp,PIDANH4 rpt 26.sp,PIDANH4 rpt 27.sp,PIDANH4 rpt 28.sp,PIDANH4 rpt 29.sp,PIDANH4 rpt 30.sp,PIDANH4 rpt 31.sp,PIDANH4 rpt 32.sp,PIDANH4 rpt 33.sp,PIDANH4 rpt 34.sp,PIDANH4 rpt 35.sp,PIDANH4 rpt 36.sp,PIDANH4 rpt 37.sp,PIDANH4 rpt 38.sp,PIDANH4 rpt 39.sp,PIDANH4 rpt 40.sp,PIDANH4 rpt 41.sp,PIDANH4 rpt 42.sp,PIDANH4 rpt 43.sp,PIDANH4 rpt 44.sp,PIDANH4 rpt 45.sp,PIDANH4 rpt 46.sp,PIDANH4 rpt 47.sp,PIDANH4 rpt 48.sp,PIDANH4 rpt 49.sp,PIDANH4 rpt 50.sp,PIDANH4 rpt 51.sp,PIDANH4 rpt 52.sp,PIDANH4 rpt 53.sp,PIDANH4 rpt 54.sp,PIDANH4 rpt 55.sp
Time,15:01:19,15:01:26,15:01:33,15:01:40,15:01:47,15:01:54,15:02:01,15:02:08,15:02:15,15:02:22,15:02:29,15:02:36,15:02:43,15:02:50,15:02:57,15:03:04,15:03:11,15:03:18,15:03:25,15:03:33,15:03:40,15:03:47,15:03:54,15:04:01,15:04:08,15:04:15,15:04:22,15:04:29,15:04:36,15:04:43,15:04:50,15:04:57,15:05:04,15:05:12,15:05:19,15:05:26,15:05:33,15:05:40,15:05:48,15:05:55,15:06:02,15:06:09,15:06:16,15:06:23,15:06:30,15:06:37,15:06:44,15:06:52,15:06:59,15:07:06,15:07:13,15:07:20,15:07:28,15:07:35,15:07:42
Raman shift [1/cm],Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1386,820.3341,805.77,820.18,794.42,822.54,835.37,806.81,801.25,817.39,794.72,729.02,753.59,682.76,703.6,623.38,583.91,514.64,448.2,409.7,363.64,342.32,311.03,291.38,277.46,273.44,242.66,249.44,240.5,246.39,242.22,237.98,231.16,243.67,230.09,241.9,238.3,245.76,240.3,136.55,103.68,297.79,425.47,540.58,604.55,648.96,699.05,747.45,757.06,723.59,752.18,746.88,720.92,716.36,715.65,719.33
1384,894.96617,874.41,883.83,864.5,889.77,907.76,869,858.7,883.31,848.12,788.23,822.97,735.73,761.79,675.17,639.37,564.67,489.21,443.03,394.7,368.83,335.18,315.34,304.29,295.37,271.87,264.17,262.61,264.4,260.92,257.19,248.93,266.7,249.66,265.67,261.18,269.11,258.9,142.03,109.38,318.01,472.67,598.06,650.22,713.17,761.06,804.29,821.38,789.39,813.84,809.82,786.58,772.02,778.72,792.87
1382,999.53347,982.03,994.66,971.45,1002.8,1008.4,984.72,962.39,988.43,949.02,892.3,917.91,819.93,856.9,756.72,722.53,634.26,544.06,497.73,441.01,410.96,371.68,357.31,341.09,325.68,309.89,292.55,294.01,291.91,294.43,291.58,283.34,299.38,283.81,293.61,294.47,306.1,285.88,152.42,114.42,360.44,537.77,678.37,732.33,799.14,862.89,900.17,918.13,889.72,919.32,917.36,878.07,862.79,879.84,881.62
1380,1134.4518,1118,1126.2,1114.1,1129,1139.2,1122.5,1106.6,1129.7,1073.6,1024.6,1035.1,934.27,974.41,862.65,827.38,722.87,619.3,571.55,500.31,465.18,426.12,405.12,389.16,366.35,349.69,329.89,333.88,332.43,336.93,331.25,320.54,336.82,323.82,331.4,333.79,351.3,325.2,171.11,123.94,413.75,626.25,778.08,843.03,912.22,991.89,1025.9,1046.1,1022.4,1060.9,1050.9,1003.9,985.48,1007.4,1006.3
1378,1277.1811,1256.4,1264.1,1244.8,1254.8,1268.9,1260.7,1255.2,1261.6,1203.4,1158.2,1155.9,1054.1,1082.4,972.37,930.55,806.88,688.98,634.47,559.64,520.73,480.48,454.12,439.56,409.9,395.67,374.7,371.12,376.64,373.79,370.11,363.63,373.19,365.64,366.14,373.68,390.5,366.74,188.93,134.07,469.68,716.36,872.1,954.13,1027.6,1105.9,1153.7,1164,1153.7,1195,1183.3,1134.7,1108.2,1134.7,1131.2
1376,1374.0709,1360.1,1373.1,1343.1,1353.8,1368.3,1359.1,1368.4,1352.8,1305.9,1250.5,1243.9,1143.6,1164.6,1053.4,1008.1,863.24,746.04,672.96,603.37,563.73,521.32,485.69,469.71,440.21,430.04,406.16,400.8,402.84,398.82,400.67,396.34,397.47,396.06,395.11,402.56,416.66,401.63,206.18,140.01,512.77,779.63,945.59,1038.1,1108.9,1189.5,1254.1,1253.2,1249.6,1294.6,1278.2,1227.7,1201.6,1229.2,1215.3
1374,1413.6041,1407.2,1422.6,1385.3,1406.2,1411.3,1405.9,1424.9,1389.2,1351.2,1283.4,1282.6,1184.7,1206.7,1079.6,1043.2,889.98,771.51,695.99,620.83,582.17,539.42,506.65,483.91,453.49,446.13,416.35,412.76,415.31,408.38,412.83,406.73,407.25,405.94,408.62,413.85,426.08,417.48,217.7,143.54,534.35,811.14,982.94,1082.3,1146.8,1226.9,1294.8,1297.3,1289,1350.3,1327.5,1265.6,1255.4,1281.4,1260.4
1372,1396.3586,1401.3,1401.7,1369.8,1394.9,1389.5,1390.9,1412,1366.7,1341,1264.8,1259.5,1168.1,1187.1,1059.5,1030.4,876.31,765.9,681.76,610.08,573.87,529.71,499.33,473.92,448.63,437.12,411.45,403.68,406.08,403.01,405.8,401.89,395.99,400.98,404.11,405.73,412.76,411.95,219.95,146.02,529,800.37,969.77,1074.9,1138.2,1217.2,1280.3,1280.1,1272,1337.8,1312.3,1259.2,1252.2,1276.7,1252.6
1370,1317.696,1334.9,1320.5,1293,1315.6,1313.2,1317,1324.6,1278.1,1268.8,1191.3,1192.7,1110.6,1119.4,1002,967.3,825.01,725.51,636.72,569.44,537.5,500.09,474.98,447.31,426.87,409.23,392.05,377.3,382.46,379.08,377.42,373.41,370.82,376.08,379.18,385.02,387.06,387.62,211.57,140.54,507.65,752.53,916.98,1024.6,1077.8,1142.6,1209.8,1213,1200.1,1257.5,1244.8,1195.8,1198.8,1213.7,1181.8
1368,1196.2465,1220.8,1191.4,1171.8,1204.6,1191.3,1197.2,1198.9,1148.7,1157.5,1075.9,1084.8,996.94,1013.3,905.07,876.02,747.2,664.68,571.64,510.92,489.53,458.7,430.9,403.24,392.19,369.8,355.52,335.19,346.54,341.95,340.93,334.07,332.48,340.73,345.46,350.19,352.06,352.93,198.11,135.95,464.58,682.34,829.06,930.94,987.99,1027.8,1106.5,1107.7,1084,1137.2,1140.7,1096.8,1101.5,1111,1081.1
