,PIDANH4 rpt 1.sp,PIDANH4 rpt 2.sp,PIDANH4 rpt 3.sp,PIDANH4 rpt 4.sp,PIDANH4 rpt 5.sp,PIDANH4 rpt 6.sp,PIDANH4 rpt 7.sp,PIDANH4 rpt 8.sp,PIDANH4 rpt 9.sp,PIDANH4 rpt 10.sp,PIDANH4 rpt 11.sp,PIDANH4 rpt 12.sp,PIDANH4 rpt 13.sp,PIDANH4 rpt 14.sp,PIDANH4 rpt 15.sp,PIDANH4 rpt 16.sp,PIDANH4 rpt 17.sp,PIDANH4 rpt 18.sp,PIDANH4 rpt 19.sp,PIDANH4 rpt 20.sp,PIDANH4 rpt 21.sp,PIDANH4 rpt 22.sp,PIDANH4 rpt 23.sp,PIDANH4 rpt 24.sp,PIDANH4 rpt 25.sp,PIDANH4 rpt 26.sp,PIDANH4 rpt 27.sp,PIDANH4 rpt 28.sp,PIDANH4 rpt 29.sp,PIDANH4 rpt 30.sp,PIDANH4 rpt 31.sp,PIDANH4 rpt 32.sp,PIDANH4 rpt 33.sp,PIDANH4 rpt 34.sp,PIDANH4 rpt 35.sp,PIDANH4 rpt 36.sp,PIDANH4 rpt 37.sp,PIDANH4 rpt 38.sp,PIDANH4 rpt 39.sp,PIDANH4 rpt 40.sp,PIDANH4 rpt 41.sp,PIDANH4 rpt 42.sp,PIDANH4 rpt 43.sp,PIDANH4 rpt 44.sp,PIDANH4 rpt 45.sp,PIDANH4 rpt 46.sp,PIDANH4 rpt 47.sp,PIDANH4 rpt 48.sp,PIDANH4 rpt 49.sp,PIDANH4 rpt 50.sp,PIDANH4 rpt 51.sp,PIDANH4 rpt 52.sp,PIDANH4 rpt 53.sp,PIDANH4 rpt 54.sp,PIDANH4 rpt 55.sp
Time,15:01:19,15:01:26,15:01:33,15:01:40,15:01:47,15:01:54,15:02:01,15:02:08,15:02:15,15:02:22,15:02:29,15:02:36,15:02:43,15:02:50,15:02:57,15:03:04,15:03:11,15:03:18,15:03:25,15:03:33,15:03:40,15:03:47,15:03:54,15:04:01,15:04:08,15:04:15,15:04:22,15:04:29,15:04:36,15:04:43,15:04:50,15:04:57,15:05:04,15:05:12,15:05:19,15:05:26,15:05:33,15:05:40,15:05:48,15:05:55,15:06:02,15:06:09,15:06:16,15:06:23,15:06:30,15:06:37,15:06:44,15:06:52,15:06:59,15:07:06,15:07:13,15:07:20,15:07:28,15:07:35,15:07:42
Raman shift [1/cm],Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
2388,21.560298,48.943,41.496,24.924,41.693,31.503,35.81,45.591,11.842,42.273,30.255,32.827,36.21,25.164,32.431,30.047,19.975,19.88,10.807,22.856,37.87,19.374,20.463,25.423,19.203,13.955,14.196,14.053,21.119,28.453,18.291,11.754,29.668,14.579,7.3298,8.2062,18.903,14.911,37.353,12.454,26.994,21.777,24.889,31.327,50.215,15.229,49.779,27.387,32.056,31.829,37.796,36.222,42.588,25.349,25.391
2386,24.198834,49.195,47.047,28.417,42.223,31.774,42.618,48.368,18.567,45.218,33.616,40.989,34.589,29.092,37.824,38.348,23.061,18.394,14.162,26.779,42.731,25.851,29.379,27.073,24.28,14.878,12.724,17.462,26.247,30.162,22.415,16.188,32.103,20.121,11.256,13.516,19.948,16.734,35.72,12.727,30.309,22.068,28.279,38.348,48.572,19.977,51.106,27.409,34.718,33.244,45.467,33.718,40.734,27.391,30.066
2384,17.634949,43.468,41.742,22.609,34.139,31.371,38.616,49.466,25.239,45.04,34.276,38.958,34.876,26.643,38.646,33.996,17.436,16.466,12.005,28.524,40.2,24.693,26.314,24.568,21.015,13.485,9.8118,15.119,23.161,26.755,22.952,12.371,24.107,20.888,9.3076,11.239,14.127,15.756,29.424,9.8574,25.881,16.503,26.929,36.109,41.105,25.469,45.259,30.213,33.875,24.466,38.055,31.523,33.204,26.321,35.179
2382,24.078812,37.798,37.816,16.003,31.03,31.631,41.343,43.037,27.281,34.588,34.829,35.364,30.517,23.565,37.841,35.829,13.887,15.499,7.6521,22.202,35.055,23.725,27.097,23.706,14.539,10.43,11.363,13.884,19.998,23.015,20.756,9.0486,21.484,16.9,7.68,8.1644,10.731,15.814,26.141,7.7548,19.64,15.024,26.462,29.308,33.086,20.384,37.25,29.837,29.504,30.709,35.508,31.876,19.88,25.846,35.602
2380,24.428401,27.69,31.372,11.312,25.81,27.364,33.242,32.05,28.069,20.877,31.038,37.826,32.14,17.77,37.429,32.927,13.226,15.67,4.8272,18.611,24.405,17.612,30.563,17.099,11.579,10.664,9.1898,12.813,18.181,21.309,18.544,4.2922,18.233,10.344,7.5368,5.2408,7.6785,16.682,22.709,4.9477,15.889,13.948,24.069,27.825,29.164,17.949,26.426,27.64,28.449,23.622,31.795,31.641,9.8112,19.276,26.255
2378,24.764614,32.314,30.918,14.062,20.875,31.242,30.648,26.944,27.131,16.331,28.699,41.157,36.113,19.352,37.906,31.704,18.74,19.457,8.5385,18.944,17.772,19.35,30.446,13.929,14.51,17.264,16.904,15.419,19.501,21.1,20.011,6.9445,19.285,10.054,8.6787,9.4139,9.0483,19.99,27.809,6.1199,15.583,16.013,31.934,28.121,36.411,21.458,29.614,27.046,27.295,25.311,30.801,33.218,10.723,23.172,30.844
2376,26.360617,31.964,38.21,18.285,19.894,35.783,30.727,27.459,39.018,10.222,30.249,39.213,38.226,19.975,33.889,30.816,26.611,24.775,16.92,20.208,21.111,22.185,32.903,15.526,16.225,22.554,20.738,16.995,24.428,23.674,22.672,11.543,26.867,17.002,11.127,14.667,14.871,23.607,37.424,8.4329,17.845,14.492,33.969,23.654,40.937,22.192,34.587,30.425,26.694,26.355,35.53,41.62,13.95,24.714,33.813
2374,30.342924,30.098,31.492,19.716,20.633,35.635,27.095,26.522,31.989,8.0085,25.302,26.149,37.305,19.451,21.876,24.155,19.704,24.619,17.65,14.905,19.109,19.314,29.191,11.927,18.953,25.856,21.441,16.341,23.282,25.982,21.888,11.652,29.695,13.901,11.342,15.894,14.172,22.235,33.646,7.4407,16.773,7.8624,28.881,25.695,43.397,17.339,33.74,21.808,26.183,24.878,37.807,40.484,13.353,20.968,35.597
2372,29.05777,34.093,32.427,19.916,21.384,33.781,29.189,29.551,30.281,11.973,22.44,23.085,37.862,20.54,18.194,19.852,18.63,26.14,20.544,19.454,21.293,22.351,28.789,14.517,21.631,24.503,25.135,17.791,23.525,33.485,24.843,15.035,29.087,16.422,14.897,22.8,13.043,22.501,39.224,10.293,21.56,13.532,24.704,28.154,42.236,18.67,39.042,19.706,26.186,23.232,38.239,38.023,13.703,20.698,39.979
2370,39.520364,40.871,32.048,22.11,25.106,35.397,35.731,27.32,25.941,20.584,26.03,23.701,36.694,23.281,20.145,20.628,23.987,36.255,24.748,21.328,27.797,28.335,32.633,15.662,27.09,29.972,26.171,17.688,25.627,31.902,29.099,17.751,31.544,20.007,17.846,24.002,18.415,22.299,44.506,16.839,21.877,16.837,23.449,34.742,40.277,25.485,49.015,19.452,23.753,25.462,43.654,32.579,26.787,18.979,42.682
2368,41.698044,38.896,35.379,27.491,21.729,36.291,33.708,26.749,23.776,27.569,26.002,24.204,30.712,24.474,19.776,22.289,23.426,32.657,26.201,27.83,28.991,33.866,34.57,18.997,28.822,27.632,24.543,16.528,21.609,32.488,29.25,20.761,25.086,15.187,23.54,21.986,20.184,20.056,51.209,21.675,22.828,18.205,18.439,31.749,42.174,26.784,55.599,13.962,19.273,23.435,46.098,24.321,26.518,18.715,39.558
2366,40.856015,42.038,39.522,31.88,19.519,38.548,35.529,24.292,18.222,30.431,27.185,27.133,28.212,26.162,22.994,25.826,27.109,35.005,29.968,32.654,29.321,37.475,34.396,20.688,29.756,26.454,19.907,15.428,16.361,29.472,31.228,25.391,23.263,15.916,24.171,26.754,20.403,21.9,50.867,23.76,24.631,18.581,15.628,36.993,42.356,29.786,50.343,15.292,17.735,24.677,46.901,21.686,23.687,24.046,36.011
2364,40.143939,42.159,39.647,29.964,15.775,39.331,35.312,22.679,21.491,33.48,23.963,28.122,33.963,22.993,21.205,24.764,23.863,37.908,28.251,32.131,27.564,35.628,29.998,23.778,27.84,25.815,17.886,12.044,9.6379,29.104,29.733,25.89,19.232,15.477,22.952,22.56,17.148,25.019,46.559,23.764,24.115,20.837,16.948,35.086,40.34,27.983,48.521,17.748,17.771,25.756,38.935,22.312,19.105,28.516,31.517
2362,37.53327,42.219,37.866,26.791,16.107,32.486,43.087,17.365,20.356,24.067,17.121,30.255,23.382,18.633,24.321,28.425,19.835,33.977,23.76,25.374,27.728,27.954,26.564,24.42,21.651,18.804,17.704,5.1016,4.833,23.451,24.274,22.772,21.119,10.129,17.868,17.741,12.254,25.213,43.467,21.941,23.521,19.034,12.725,34.041,32.745,19.343,39.735,19.826,11.157,32.248,30.265,22.212,10.81,26.413,23.127
2360,31.62179,38.261,38.229,26.417,18.855,22.683,40.478,15.715,21.105,26.028,14.319,34.42,26.233,16.48,33.607,32.176,25.377,34.087,21.198,25.206,22.464,21.368,28.059,18.742,23.381,17.141,16.687,4.2553,5.5124,21.252,26.629,25.455,21.514,14.864,15.612,16.112,14.464,25.236,44.875,21.705,24.363,22.884,18.229,31.868,36.675,18.586,34.983,24.289,11.668,33.144,24.855,20.742,5.7949,19.258,14.347
2358,26.447591,38.555,34.084,28.105,17.708,14.726,32.168,16.07,18.703,27.78,16.646,39.751,27.55,9.3421,34.976,31.033,28.138,35.897,22.33,20.627,20.074,16.776,23.71,18.721,24.217,13.945,18.816,3.164,4.1414,24.218,27.886,25.736,20.005,14.577,14.169,17.504,10.758,24.696,58.094,18.234,25.714,23.39,26.333,28.562,35.685,17.697,39.652,22.956,15.722,32.132,25.839,23.203,9.6234,19.779,15.534
2356,30.077123,32.157,32.596,25.316,15.771,14.184,36.251,25.169,22.004,29.4,16.584,36.772,25.385,5.969,33.915,31.618,27.676,37.817,25.505,19.834,20.407,13.326,21.593,20.218,25.592,9.3768,18.906,6.5839,8.89,26.488,27.901,29.469,20.609,19.652,15.406,20.251,12.32,22.218,63.953,14.115,27.66,22.46,37.709,28.706,39.928,13.452,45.094,30.789,21.727,29.674,22.147,30.239,12.319,15.363,18.27
2354,23.629753,29.269,26.586,19.886,15.698,19.617,33.013,37.661,15.919,28.129,13.899,34.562,30.124,7.703,23.773,31.144,20.514,35.089,25.47,20.224,16.245,13.977,17.205,14.513,21.038,9.3991,19.284,6.2443,11.01,29.629,26.71,30.789,24.757,19.806,16.848,26.062,8.6463,20.726,57.595,14.393,28.562,27.257,44.341,32.611,31.999,13.753,52.922,30.686,24.727,26.936,25.353,37.223,12.46,5.6425,19.562
2352,20.198808,27.15,26.182,14.126,15.788,21.378,32.666,41.926,16.585,26.021,14.549,29.622,37.154,5.1698,21.406,25.317,21.719,32.053,25.728,18.146,18.431,17.531,16.282,8.8005,17.301,6.529,22.844,6.1932,15.798,31.432,23.058,27.05,27.164,21.249,17.184,23.95,5.3932,19.143,53.612,11.377,27.234,28.296,41.067,32.328,23.022,13.841,50.666,30.932,29.801,22.48,24.741,38.723,15.72,2.4905,22.913
2350,25.410838,28.291,23.863,20.036,12.982,32.268,29.847,43.611,18.454,24.613,21.357,33.267,34.367,2.7451,26.572,24.482,20.63,36.199,29.368,18.571,24.156,23.303,19.017,9.418,14.95,14.43,27.502,6.2761,17.325,32.28,23.227,24.972,28.533,16.294,16.184,20.988,11.839,17.756,50.963,13.068,23.748,29.307,41.312,31.135,21.782,13.617,52.453,29.908,33.268,27.695,31.358,42.371,25.964,-0.68984,25.416
2348,24.721387,22.169,24.712,21.057,13.189,37.04,24.357,42.151,20.334,22.709,24.165,24.387,30.834,4.8761,31.591,25.789,15.3,35.049,30.626,21.793,27.028,24.027,20.184,10.019,9.0526,12.798,28.06,9.1942,13.231,24.535,17.094,23.779,24,12.762,18.131,18.482,13.785,18.804,45.654,10.199,23.499,28.621,42.137,23.812,17.748,11.991,45.684,25.673,34.547,25.397,35.548,40.943,24.83,4.8363,22.409
2346,21.643991,22.141,28.847,24.925,11.726,37.874,23.076,35.635,24.467,15.585,22.401,19.55,23.268,6.9603,35.865,23.182,13.745,37.491,29.196,18.584,22.916,23.974,22.178,3.8943,4.6197,12.448,25.886,8.0047,7.8332,20.229,17.229,26.495,23.573,15.019,11.582,20.022,17.161,18.098,35.59,8.2959,19.501,27.518,41.923,23.279,19.391,14.853,37.529,30.489,31.847,24.658,35.605,41.23,26.881,12.126,22.29
2344,28.123528,25.159,30.774,27.812,20.535,37.062,27.354,43.606,30.392,18.574,25.454,17.692,19.961,14.065,38.155,25.627,15.675,39.436,26.759,18.458,25.424,26.258,25.507,7.5397,4.9638,19.011,29.288,11.679,12.454,21.325,16.99,27.517,27.687,18.385,14.773,23.471,16.71,25.41,30.132,10.382,23.582,27.138,38.119,26.072,26.397,23.821,33.966,31.555,37.01,28.162,30.728,40.061,24.922,18.741,26.052
2342,27.180898,28.247,27.937,29.383,25.327,28.254,28.652,37.827,35.703,12.14,27.828,17.569,7.3561,22.078,40.342,28.98,8.6374,29.787,20.274,17.623,25.067,21.406,25.256,8.6089,2.6647,23.055,25.782,12.183,16.167,13.564,16.796,24.311,27.728,16.833,17.569,23.584,13.114,25.93,25.706,10.365,24.313,23.527,33.922,25.962,27.555,23.612,28.386,34.798,28.844,31.042,23.533,32.903,21.146,23.473,31.291
2340,26.732101,31.325,34.717,28.776,32.868,24.748,28.444,34.435,40.717,23.124,33.693,23.553,5.5929,27.85,42.841,35.461,7.402,26.172,12.682,19.655,20.074,21.57,22.982,13.03,3.5421,21.052,22.396,10.848,17.584,11.39,20.149,23.898,23.077,16.814,18.962,22.113,14.406,24.108,29.055,14.87,26.578,22.089,33.493,22.625,37.34,26.405,24.889,34.354,29.238,30.235,20.243,23.448,21.037,25.465,34.755
2338,21.972937,31.595,34.843,24.683,39.232,17.684,21.811,24.339,40.901,30.234,33.05,27.384,4.713,21.55,33.44,32.221,5.2711,18.909,7.657,14.28,16.72,21.191,15.434,12.193,2.4214,13.441,22.268,8.9959,18.072,9.7761,18.367,15.869,14.626,14.689,16.533,21.236,7.8835,20.17,37.146,10.94,31.29,16.753,32.954,21.426,37.86,29.441,20.316,29.694,26.494,20.427,22.473,21.22,18.269,31.08,36.312
2336,21.16737,32.199,33.24,23.968,45.602,20.577,25.52,29.739,38.996,33.214,42.198,27.608,14.74,23.274,26.198,26.483,10.244,14.376,6.0777,19.633,15.369,24.055,13.354,14.898,4.6232,14.355,23.447,9.6128,18.924,10.184,19.06,17.901,13.011,15.477,21.549,21.028,8.9057,12.496,37.837,11.252,31.563,15.698,33.358,24.489,45.119,38.336,21.874,33.08,23.598,20.315,21.796,23.836,18.105,28.045,42.392
2334,18.287108,32.327,35.204,16.076,55.541,26.196,23.052,37.746,33.335,34.478,45.767,30.439,31.198,24.049,16.862,25.207,12.888,11.68,5.3255,24.489,9.9453,25.879,14.868,14.725,2.6315,15.81,21.449,4.6911,19.911,13.608,18.416,21.243,16.97,13.991,27.098,22.256,2.7805,9.2549,42.149,15.08,33.535,18.109,29.769,26.956,41.554,40.301,29.982,34.494,19.423,18.191,31.325,22.82,21.476,24.803,39.674
2332,24.77536,32.383,35.984,23.401,54.985,29.212,27.237,35.152,27.959,36.116,45.575,28.708,40.835,25.887,16.975,25.035,15.946,6.5073,6.3993,24.623,9.6718,26.86,14.562,13.521,6.9027,17.571,22.595,6.9588,21.728,15.645,13.836,20.591,14.547,10.718,28.241,16.921,-0.94177,6.8167,39.605,13.197,32.383,16.603,17.095,28.274,45.537,38.695,32.928,29.314,21.497,28.03,41.515,23.692,24.107,21.293,37.13
2330,28.866326,34.638,34.456,32.496,49.817,38.217,21.81,29.532,25.196,34.932,47.92,33.48,48.382,26.064,25.357,22.526,14.026,9.9422,9.144,28.465,11.372,25.086,17.873,19.435,7.4687,22.173,21.721,9.6643,16.879,19.893,15.325,19.513,13.888,10.372,21.759,16.6,2.5359,6.0735,41.085,8.5216,30.375,15.149,18.35,27.023,47.447,35.341,38.731,21.627,22.68,32.553,50.525,25.772,25.377,22.083,34.048
2328,37.182927,29.807,35.261,31.686,48.613,43.388,21.346,24.884,19.585,36.723,47.081,33.023,50.606,28.789,27.512,27.762,15.802,13.922,10.885,26.921,11.744,22.439,23.265,13.679,10.247,17.249,20.631,11.878,16.179,15.083,13.875,21.309,11.894,16.107,22.603,15.008,4.4447,8.9942,42.394,4.8439,29.87,18.751,20.81,23.284,48.904,29.332,40.967,17.878,23.324,40.029,61.895,26.252,23.758,25.569,40.222
2326,41.719754,30.528,41.296,37.81,46.65,46.975,23.763,24.824,19.151,34.871,45.303,40.956,46.475,33.605,31.151,25.849,19.774,17.092,15.719,24.424,13.673,24.203,27.545,9.9452,14.086,18.197,21.118,12.129,13.851,21.464,15.585,24.811,9.7051,24.197,18.972,13.417,10.896,10.358,40.657,6.5628,26.105,22.707,25.711,25.28,51.656,30.14,50.36,20.393,31.705,37.567,68.92,34.18,26.768,26.822,46.32
2324,48.917248,35.093,40.343,44.449,47.602,48.616,35.365,29.331,20.063,40.295,44.506,45.857,48.351,39.342,38.722,37.081,24.508,22.826,25.469,24.003,21.84,23.144,28.597,11.759,17.858,27.584,22.474,14.537,21.18,23.431,23.08,24.144,15.173,28.083,22.326,19.702,12.083,22.115,38.707,11.632,28.041,22.609,28.082,32.03,55.417,36.261,61.497,24.125,47.356,38.944,73.237,41.272,23.359,31.091,48.118
2322,54.361583,41.799,37.906,44.466,44.231,50.57,39.407,21.063,24.885,35.522,46.399,45.15,42.801,45.717,41.081,39.33,23.704,27.65,30.773,20.13,29.349,21.274,25.275,13.271,18.754,31.485,16.34,12.805,24.419,23.33,26.091,22.894,12.621,27.588,19.426,22.518,14.704,26.688,36.815,15.514,29.723,24.971,32.981,30.753,51.742,33.498,73.233,27.745,49.022,43.664,70.988,45.282,23.955,31.475,48.294
2320,50.988103,45.945,43.547,41.073,49.141,51.716,46.561,20.33,35.957,42.991,49.437,54.334,37.191,43.944,44.266,40.888,26.366,30.062,34.973,20.571,34.021,21.718,23.562,18.798,23.149,25.782,17.472,10.22,26.582,23.167,27.12,20.049,15.575,25.266,15.17,23.606,12.919,31.023,28.413,21.049,31.666,21.602,39.282,34.414,54.967,35.807,73.054,30.581,51.532,42.453,63.329,47.296,26.254,37.225,43.611
2318,45.019935,49.595,46.635,40.537,50.359,46.379,56.244,24.905,45.164,44.669,55.021,53.63,40.785,34.604,44.969,39.231,34.709,35.966,37.265,19.278,41.111,27.282,26.266,19.091,29.73,27.642,23.519,11.366,32.083,22.044,29.915,14.986,18.43,23.931,13.672,24.172,18.32,27.86,29.611,24.203,32.368,26.967,45.929,36.539,58.681,40.292,67.359,33.433,52.435,44.844,61.593,52.79,28.586,43.396,37.36
2316,43.497418,52.905,45.238,44.381,54.847,45.423,67.009,42.717,50.895,44.116,70.152,49.111,47.653,36.366,49.086,37.548,39.64,43.673,37.588,26.16,44.401,27.789,28.399,23.432,30.498,29.168,25.69,11.324,33.162,25.63,29.123,13.502,21.384,18.153,19.512,20.073,21.904,21.197,24.629,21.719,30.759,32.75,53.132,46.435,57.539,46.236,66.801,47.424,46.687,48.788,55.038,62.114,36.846,40.447,41.46
2314,50.500786,57.953,53.375,49.287,55.181,43.811,67.843,60.854,52.237,49.918,76.958,54.406,51.168,37.277,51,43.629,39.235,46.828,34.472,28.471,42.438,31.063,34.216,27.03,31.415,28.144,29.819,14.298,32.489,29.37,22.746,17.486,22.778,14.89,23.278,15.145,19.519,20.325,20.848,18.464,33.126,37.571,58.749,51.478,63.288,47.813,68.334,55.314,38.456,50.522,55.773,66.632,45.158,43.167,43.362
2312,70.134505,69.038,59.363,64.358,57.457,45.672,71.546,73.663,60.942,66.094,79.366,66.18,56.472,48.383,47.896,49.718,44.656,49.969,35.023,36.176,47.909,31.854,40.69,30.24,36.467,33.113,30.988,19.982,36.221,30.737,19.344,21.096,24.554,19.909,22.907,16.751,17.448,20.021,13.328,13.644,37.308,51.672,60.907,62.541,73.456,58.528,80.271,68.819,44.597,70.528,62.367,77.35,51.939,52.97,51.038
2310,83.422533,82.123,70.025,64.251,69.242,52.154,73.611,85.01,71.837,76.039,85.421,79.001,65.532,51.87,52.169,55.089,50.377,61.569,34.38,41.035,50.115,32.73,45.262,37.131,34.486,32.384,30.581,24.974,35.964,32.663,24.514,23.517,27.659,23.793,20.68,20.084,20.99,25.498,11.743,6.2929,40.353,57.008,66.891,73.594,75.935,62.283,77.133,73.939,45.278,84.066,74.301,78.687,61.927,60.533,58.613
2308,103.21983,101.9,96.391,81.089,84.714,68.312,87.822,95.845,91.037,99.006,99.392,98.864,85.102,73.153,64.984,77.78,64.494,73.889,42.782,48.818,53.148,40.15,50.936,35.095,42.026,36.644,37.957,28.283,40.208,38.744,28.964,32.538,36.046,31.214,38.462,25.942,22.355,34.751,21.897,11.184,44.913,62.904,73.371,84.541,84.793,65.357,90.038,92.883,63.314,107.8,89.424,86.485,76.73,73.621,84.407
2306,136.17253,138.32,138.87,115.97,120.4,117.09,113.38,122.12,127.02,130.21,123.78,136.34,114.8,97.126,98.877,102.39,82.307,82.691,60.056,64.666,63.089,53.03,63.046,42.29,52.749,50.416,46.283,38.839,48.603,53.102,39.432,41.828,49.119,45.417,50.225,36.418,34.396,51.252,35.35,16.357,56.735,82.274,87.725,109.98,104.54,93.36,115.69,119.81,97.684,128.41,113.19,112.41,103.39,95.08,112.92
2304,201.14883,192.64,193.53,179.3,188.91,188.85,164.5,178.24,188.79,193.58,163.9,184.64,176.02,144.25,152.66,157.13,116.03,114.79,84.721,95.436,85.937,74.216,82.192,63.487,72.53,74.908,63.341,59.459,69.71,67.967,62.755,65.448,72.206,65.166,69.475,63.8,55.975,76.869,46.293,25.848,82.671,114.82,124.1,153.17,139.61,147.84,172.06,162.32,156.03,176.33,160.1,154.1,153.53,143.27,159.36
2302,283.85372,282.7,279.75,259.31,276.32,284.15,252.21,262.39,280,274.44,240.01,263.91,244.66,222.28,223.34,220.35,169.49,163.58,133.25,134.55,124.71,103.86,111.36,92.481,112.48,102.65,89.365,86,98.484,89.492,87.945,93.084,98.333,87.452,92.108,90.351,82.56,108.74,58.917,34.954,117.67,167.75,175.56,214.86,203.69,221.91,251.36,234.78,229.51,256.73,240.11,214.56,220.13,216.38,226.76
2300,378.14355,375.4,382.47,362.65,374.47,393.09,355.14,370.41,377.99,373.68,329.26,355.77,326.41,314.54,298.01,297.14,231.96,209.61,181.37,186.85,164.06,145.34,146.91,129.34,149.55,128.07,123.15,117.08,126.94,118.86,115.46,122.06,128.43,109.71,119.53,119.41,111.9,143.52,72.29,41.492,158.99,224.75,240.64,283.83,279.93,306.38,332.05,324.18,325.88,340.03,323.64,292.89,304.15,320.64,309.8
2298,459.94919,458.48,471.54,456.17,459.59,486.09,452.01,463.71,466.55,454.22,409.05,428.66,389.79,389.5,367.38,360.97,288.87,252.15,232.45,228.54,200.65,181.84,181.62,162.9,184.12,155.95,154.31,141.27,151.81,140.36,144.94,148.15,152.23,128.03,145.93,147.05,141.79,169.92,94.737,45.804,196.75,281.6,300.78,345.48,350.84,377.69,414,402.95,404.67,417.24,407.57,369.74,389.84,405.59,389.8
2296,519.12474,510.24,531.59,524.26,524.16,548.57,517.53,535.66,521.15,513.02,469.42,475.14,430.02,445.99,419.57,406.56,327.28,282.19,270.03,257.69,227.66,206.31,200.89,183.79,199.52,171.06,180.03,165.75,170.71,158.09,165.87,167.69,164.83,144.61,164.25,166,163.93,189.16,108.7,44.279,225.79,324.7,349.75,388.88,401.19,429.84,484.76,455.87,456.7,475.05,465.39,436.56,453.57,465.02,453.57
2294,541.58225,525.19,552.91,549.78,541.57,569.91,540.48,561.89,539.36,535.15,487.44,497.32,439.96,469.53,438.59,427.75,346.66,298.96,281.13,264.31,240.75,224.02,206.54,197,205.15,182.94,190.43,179.74,179.23,167.82,170.76,174.45,169.38,155.99,164.42,171.32,174.08,201.34,109.61,42.311,236.21,345.79,375.93,410.21,433.07,455.05,520.37,481.41,470.79,506.2,492.61,466.46,480.89,494.25,481.77
2292,524.63585,506.82,528.92,528.69,527.46,546.04,517.66,537.72,516.09,517.32,466.54,486.61,423.7,465.06,408.08,413.22,341.09,301.36,277.75,256.08,238.66,218.91,200.31,194.49,196.82,178.55,178.54,176.75,174.93,162.05,168.16,168.86,161.07,154.86,153.48,169.22,170.15,193.15,111.57,37.225,232.47,341.96,371.82,401.69,435.56,444.69,515.51,480.01,454.22,511.56,487.81,467.49,473.89,482.9,475.94
2290,465.97241,451.79,477.7,461.59,475.61,483.17,466.14,476.48,456.11,462.2,412.35,434.06,377.11,412.44,366.6,370.98,316.99,278.18,255.81,231.63,217.69,196.24,183.26,178.18,174.19,164.84,158.88,164.21,162.48,153.19,155.08,151.38,146.11,142.31,136.86,153.96,156.65,178.3,108.35,33.772,211.51,307.13,338.1,367.85,404.73,395.59,463.71,435.7,404.92,473.55,452.58,422.19,435.61,432.71,434.1
2288,375.15056,377.69,397.22,385.89,394.73,399.33,390.77,380.75,378.44,387.65,341.28,359.08,320.16,346.72,305.53,316.53,272.92,233.77,222.27,192.48,180.68,161.09,153.01,150.28,151.39,143.55,127.74,138.56,140.38,135.54,129.76,128.55,129.82,127.93,120,130.73,135.73,153.59,103.12,32.389,176.13,253.52,284.71,307.82,353.32,330.3,391.93,368.59,337.04,406.89,383.06,356.74,363.87,359.76,372.63
2286,290.64145,293.71,311.7,294.78,317.9,324.05,310.36,292.03,293.86,308.07,266.04,280.85,255.77,262.47,236.5,254.41,223.65,185.17,176.69,146.71,140.23,121.46,123.38,114.72,120,119.09,91.056,112.55,116.52,109.1,98.954,98.249,105.01,108.83,95.252,100.04,110.97,124.78,86.834,26.276,140.54,204.37,224.37,244.18,295.75,269,300.7,294.53,265.4,322.06,307.56,289.97,287.91,275.87,301.29
2284,233.21538,225.25,236.54,229.12,257.59,257.52,238.67,230.23,232.19,243.54,204.72,214.51,213.52,202,183.08,207.03,177.69,152.29,138.26,116.44,111.98,91.795,96.239,88.533,96.454,99.239,65.52,86.792,92.252,85.512,76.011,78.974,83.707,93.765,79.242,74.534,91.085,94.485,64.011,19.909,111.32,164.71,182.06,198.75,241.15,220.23,226.32,233.01,209.71,256.16,243.62,233.18,227.77,215.51,239.97
2282,194.85941,205.46,204.2,196.99,212.72,216.95,216.59,199.1,200.06,205.76,180.82,189.41,188.02,177.54,155.31,185.84,152.05,133.8,119.69,100.72,95.484,69.513,84.9,75.857,89.998,89.417,53.552,71.483,79.601,70.384,60.26,62.566,70.95,80.969,73.022,62.106,77.188,77.372,54.526,18.646,94.313,141.87,158.83,175.92,210,194.31,178.82,205.37,182.22,220.69,216.48,197.31,186.88,183.04,197.14
2280,190.05386,191.99,194.24,185.68,192.64,204.34,205.05,197.03,188.27,192.59,176.56,177.26,178.23,168.31,142.14,171.77,135.8,117.57,102.35,96.183,89.205,60.215,75.554,72.179,73.603,79.957,48.499,63.797,63.152,64.461,48.976,57.221,64.476,73.652,72.213,59.6,66.331,66.48,48.347,15.416,84.79,128.26,147.08,161.96,189.4,183.09,156.56,188.54,177,190.83,197.05,185.11,165.68,178.3,177.78
